About,Über,
Company,Unternehmen,
Delete Demo Data,Demodaten löschen,
Frappe Support,Frappe Support,
Invoice Number,Rechnungsnummer,
Keyboard Shortcuts,Tastaturkürzel,
Language,Sprache,
Message,Nachricht,
Print Format,Druckformat,
Production,Produktion,
Select,Auswählen,
System Health,Systemgesundheit,
System Manager,System-Manager,
Time,Zeit,
Title,Titel,
UUID,UUID,
