About,O,
Company,Tvrtka,
Delete Demo Data,Izbriši Demo Podatke,
Frappe Support,Frappe Podrška,
Invoice Number,Faktura Broj,
Keyboard Shortcuts,Prečice Tastature,
Language,Jezik,
Message,Poruka,
Print Format,Format za ispisivanje,
Production,Proizvodnja,
Select,Odaberi,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
Time,Vrijeme,
Title,Naziv,
UUID,UUID,
