About,Om,
Company,Bolag,
Delete Demo Data,Ta bort Demo Data,
Frappe Support,Frappe Support,
Invoice Number,Faktura Nummer,
Keyboard Shortcuts,Kort Kommando,
Language,Språk,
Message,Meddelande,
Print Format,Utskrift Format,
Production,Produktion,
Select,Välj i Listan,
System Health,System Status,
System Manager,System Ansvarig,
Time,Tid,
Title,Benämning,
UUID,UUID,
