About,Hakkında,
Company,Şirket,
Frappe Support,Frappe Desteği,
Invoice Number,Fatura Numarası,
Keyboard Shortcuts,Klavye Kısayolları,
Language,Dil,
Message,Mesaj,
Print Format,Yazdırma Formatı,
Production,Üretim,
Select,Seçim,
System Health,Sistem Sağlığı,
System Manager,Sistem Yöneticisi,
Time,Zaman,
Title,Başlık,
